26.117499   -655.677863
28.490428   -658.104535
31.002902   -659.813905
33.658907   -660.947817
36.462432   -661.613140
39.417462   -661.892758
42.527986   -661.855089
45.797989   -661.557296
49.231460   -661.048546
52.832384   -660.375053
56.604749   -659.577213
60.552542   -658.687068
64.679750   -657.729661
68.990361   -656.726318
73.488360   -655.695687
78.177734   -654.655877
83.062472   -653.619418
88.146560   -652.593984
93.433985   -651.587557
98.928734   -650.605569
110.556151   -648.731857
116.696793   -647.846488
